Average Microplastic,Year,Average of Merge1.Production,MP_Change,Yield_change,Average of distance,Name_En
0.8665200000000003,1986,42664.976744186046,0,0,5.8957153876859865,American cupped oyster
0.007194,1986,0,0,0,9.10653744235909,Atlantic cod
0.021582,1986,457.3333333333333,0,0,9.106537442359091,Atlantic salmon
0.007194,1986,0,0,0,9.10653744235909,Blue crab
0.014388,1986,2311,0,0,9.106537442359091,Blue mussel
0.429663,1986,0,0,0,5.739089921604373,Blue shrimp
0.007194,1986,0,0,0,9.10653744235909,Butter clam
0.429663,1986,0,0,0,5.739089921604373,Callinectes swimcrabs nei
0.429663,1986,0,0,0,5.739089921604375,Caribbean spiny lobster
0.8593260000000003,1986,0,0,0,5.739089921604375,"Clams, etc. nei"
0.8593260000000003,1986,0,0,0,5.739089921604372,Cobia
0.429663,1986,0,0,0,5.739089921604373,Common snook
0.429663,1986,0,0,0,5.739089921604373,Cupped oysters nei
0.429663,1986,0,0,0,5.739089921604373,Florida pompano
0.429663,1986,100,0,0,5.739089921604375,Gracilaria seaweeds
0.8593260000000003,1986,550.5,0,0,5.7390899216043705,Mangrove cupped oyster
0.8593260000000003,1986,1.5,0,0,5.739089921604372,Marine fishes nei
0.014388,1986,0,0,0,9.10653744235909,Marine molluscs nei
0.429663,1986,0,0,0,5.739089921604373,Mojarras(=Silver-biddies) nei
0.007194,1986,5134,0,0,9.106537442359091,Northern quahog(=Hard clam)
0.429663,1986,0,0,0,5.739089921604373,Northern white shrimp
0.429663,1986,0,0,0,5.739089921604373,Palinurid spiny lobsters nei
0.8593260000000003,1986,125.5,0,0,5.7390899216043705,Penaeus shrimps nei
0.007194,1986,192,0,0,9.106537442359091,Sand gaper
0.014388,1986,0,0,0,9.10653744235909,Scallops nei
0.429663,1986,50,0,0,5.739089921604375,South American rock mussel
0.429663,1986,0,0,0,5.739089921604373,Southern white shrimp
0.429663,1986,0,0,0,5.739089921604373,Tilapias nei
1.718652,1986,225,0,0,5.739089921604378,Whiteleg shrimp
1.5765114999999983,1987,38956.18620689655,0.8193596223976339,-0.086928221232299,3.809516478152628,American cupped oyster
0.0878015,1987,200,11.204823463997776,0,9.505782009655018,Atlantic cod
0.26340449999999993,1987,959,11.204823463997773,1.0969387755102042,9.505782009655022,Atlantic salmon
0.0878015,1987,0,11.204823463997776,0,9.50578200965502,Blue crab
0.175603,1987,2201.5,11.204823463997776,-0.04738208567719602,9.505782009655022,Blue mussel
0.744354999999999,1987,0,0.7324158701121553,0,3.577850176632195,Blue shrimp
0.0878015,1987,0,11.204823463997776,0,9.50578200965502,Butter clam
0.7443549999999994,1987,0,0.7324158701121563,0,3.577850176632192,Callinectes swimcrabs nei
0.7443549999999995,1987,0,0.7324158701121566,0,3.5778501766321953,Caribbean spiny lobster
1.4887099999999978,1987,0,0.7324158701121546,0,3.577850176632197,"Clams, etc. nei"
1.4887099999999989,1987,0,0.7324158701121558,0,3.577850176632196,Cobia
0.744354999999999,1987,0,0.7324158701121553,0,3.577850176632195,Common snook
0.744354999999999,1987,0,0.7324158701121553,0,3.577850176632195,Cupped oysters nei
0.7443549999999995,1987,0,0.7324158701121566,0,3.577850176632193,Florida pompano
0.744354999999999,1987,100,0.7324158701121553,0,3.5778501766321975,Gracilaria seaweeds
1.488709999999998,1987,650.5,0.7324158701121548,0.18165304268846502,3.5778501766321975,Mangrove cupped oyster
2.233064999999997,1987,3,1.5986238051682324,1,3.5778501766321993,Marine fishes nei
0.175603,1987,0,11.204823463997776,0,9.505782009655022,Marine molluscs nei
0.744354999999999,1987,0,0.7324158701121553,0,3.577850176632195,Mojarras(=Silver-biddies) nei
0.0878015,1987,4500,11.204823463997776,-0.123490455784963,9.505782009655018,Northern quahog(=Hard clam)
0.7443549999999994,1987,0,0.7324158701121563,0,3.577850176632192,Northern white shrimp
0.744354999999999,1987,0,0.7324158701121553,0,3.577850176632195,Palinurid spiny lobsters nei
1.488709999999998,1987,118,0.7324158701121548,-0.05976095617529881,3.5778501766321975,Penaeus shrimps nei
0.744354999999999,1987,360,0,0,3.5778501766321975,Queen conch
0.744354999999999,1987,1,0,0,3.5778501766321975,Red drum
0.0878015,1987,87,11.204823463997776,-0.546875,9.505782009655018,Sand gaper
0.175603,1987,0,11.204823463997776,0,9.505782009655016,Scallops nei
,1987,,-1,-1,,South American rock mussel
0.744354999999999,1987,346,0.7324158701121553,0,3.5778501766321975,Southern white shrimp
0.744354999999999,1987,21,0,0,3.5778501766321975,Stromboid conchs nei
0.744354999999999,1987,0,0.7324158701121553,0,3.577850176632195,Tilapias nei
2.977419999999996,1987,439.25,0.7324158701121553,0.9522222222222222,3.577850176632201,Whiteleg shrimp
,1988,,-1,-1,,American cupped oyster
,1988,,-1,-1,,Atlantic cod
,1988,,-1,-1,,Atlantic salmon
,1988,,-1,0,,Blue crab
,1988,,-1,-1,,Blue mussel
,1988,,-1,0,,Blue shrimp
,1988,,-1,0,,Butter clam
,1988,,-1,0,,Callinectes swimcrabs nei
,1988,,-1,0,,Caribbean spiny lobster
,1988,,-1,0,,"Clams, etc. nei"
,1988,,-1,0,,Cobia
,1988,,-1,0,,Common snook
,1988,,-1,0,,Cupped oysters nei
,1988,,-1,0,,Florida pompano
,1988,,-1,-1,,Gracilaria seaweeds
,1988,,-1,-1,,Mangrove cupped oyster
,1988,,-1,-1,,Marine fishes nei
,1988,,-1,0,,Marine molluscs nei
,1988,,-1,0,,Mojarras(=Silver-biddies) nei
,1988,,-1,-1,,Northern quahog(=Hard clam)
,1988,,-1,0,,Northern white shrimp
,1988,,-1,0,,Palinurid spiny lobsters nei
,1988,,-1,-1,,Penaeus shrimps nei
,1988,,-1,-1,,Queen conch
,1988,,-1,-1,,Red drum
,1988,,-1,-1,,Sand gaper
,1988,,-1,0,,Scallops nei
,1988,,-1,-1,,Southern white shrimp
,1988,,-1,-1,,Stromboid conchs nei
,1988,,-1,0,,Tilapias nei
,1988,,-1,-1,,Whiteleg shrimp
1.3258251666999996,1989,33258.26737967914,0,0,3.5459804342979644,American cupped oyster
0.3521801666999999,1989,0,0,0,6.961895316585591,Atlantic bluefin tuna
0.3521801667,1989,59,0,0,6.9618953165855935,Atlantic cod
1.0565405001000001,1989,3976,0,0,6.961895316585593,Atlantic salmon
0.3521801667,1989,0,0,0,6.961895316585591,Blue crab
0.7043603333999999,1989,2394,0,0,6.961895316585591,Blue mussel
0.48682249999999994,1989,0,0,0,2.9695447979119267,Blue shrimp
0.48682249999999994,1989,1,0,0,2.969544797911927,Brine shrimp
0.3521801666999999,1989,0,0,0,6.961895316585591,Butter clam
0.48682249999999977,1989,0,0,0,2.9695447979119267,Callinectes swimcrabs nei
0.48682249999999977,1989,0,0,0,2.969544797911927,Caribbean spiny lobster
0.9736449999999993,1989,0,0,0,2.969544797911928,"Clams, etc. nei"
0.9736449999999994,1989,0,0,0,2.969544797911929,Cobia
0.48682249999999994,1989,0,0,0,2.9695447979119267,Common snook
0.48682249999999994,1989,0,0,0,2.9695447979119267,Cupped oysters nei
0.48682249999999977,1989,0,0,0,2.969544797911927,Florida pompano
0.48682249999999994,1989,40,0,0,2.969544797911927,Gracilaria seaweeds
0.48682249999999994,1989,2,0,0,2.969544797911927,Mangrove cupped oyster
0.9736449999999996,1989,0.5,0,0,2.9695447979119276,Marine fishes nei
0.7043603334000001,1989,0,0,0,6.961895316585588,Marine molluscs nei
0.48682249999999994,1989,0,0,0,2.9695447979119267,Mojarras(=Silver-biddies) nei
0.3521801666999999,1989,4161,0,0,6.9618953165855935,Northern quahog(=Hard clam)
0.48682249999999977,1989,0,0,0,2.9695447979119267,Northern white shrimp
0.48682249999999994,1989,0,0,0,2.9695447979119267,Palinurid spiny lobsters nei
0.9736449999999999,1989,78,0,0,2.969544797911928,Penaeus shrimps nei
0.48682249999999994,1989,10,0,0,2.969544797911927,Queen conch
0.9736449999999999,1989,3,0,0,2.969544797911928,Red drum
0.3521801667,1989,1,0,0,6.9618953165855935,Sand gaper
0.7043603334000001,1989,119,0,0,6.961895316585591,Scallops nei
0.48682249999999994,1989,10,0,0,2.969544797911927,South American rock mussel
0.48682249999999994,1989,752,0,0,2.969544797911927,Southern white shrimp
0.48682249999999994,1989,10,0,0,2.969544797911927,Stromboid conchs nei
0.48682249999999994,1989,0,0,0,2.9695447979119267,Tilapias nei
2.920934999999999,1989,747.5,0,0,2.9695447979119316,Whiteleg shrimp
2.8695429999999993,1990,15366.6875,1.1643449468849187,-0.537958868254542,2.9143221724057455,American cupped oyster
0.019547,1990,0,-0.9444971584199094,0,7.439742119052737,Atlantic bluefin tuna
0.019547000000000002,1990,90,-0.9444971584199094,0.5254237288135594,7.439742119052739,Atlantic cod
0.05864099999999999,1990,6285,-0.9444971584199094,0.5807344064386318,7.439742119052741,Atlantic salmon
0.019547000000000002,1990,0,-0.9444971584199094,0,7.439742119052739,Blue crab
0.039094,1990,2488,-0.9444971584199094,0.03926482873851295,7.439742119052739,Blue mussel
1.4249979999999998,1990,0,1.9271407956698796,0,2.717564783421094,Blue shrimp
1.4249979999999998,1990,0,1.9271407956698796,-1,2.7175647834210928,Brine shrimp
0.019547,1990,0,-0.9444971584199094,0,7.439742119052737,Butter clam
1.4249979999999998,1990,0,1.927140795669882,0,2.717564783421094,Callinectes swimcrabs nei
1.4249979999999998,1990,0,1.9271407956698807,0,2.7175647834210936,Caribbean spiny lobster
2.849995999999999,1990,0,1.9271407956698852,0,2.717564783421098,"Clams, etc. nei"
2.8499959999999995,1990,0,1.927140795669883,0,2.717564783421095,Cobia
1.4249979999999998,1990,0,1.9271407956698796,0,2.717564783421094,Common snook
1.4249979999999998,1990,0,1.9271407956698796,0,2.717564783421094,Cupped oysters nei
1.4249979999999998,1990,101,0,0,2.717564783421093,Elkhorn sea moss
1.4249979999999998,1990,0,1.9271407956698807,0,2.7175647834210945,Florida pompano
1.4249979999999998,1990,40,1.9271407956698796,0,2.717564783421093,Gracilaria seaweeds
1.4249979999999995,1990,5,1.9271407956698792,1.5,2.7175647834210923,Mangrove cupped oyster
2.8499959999999995,1990,0,1.9271407956698796,-1,2.7175647834210945,Marine fishes nei
0.039094000000000004,1990,0,-0.9444971584199094,0,7.439742119052739,Marine molluscs nei
1.4249979999999998,1990,0,1.9271407956698796,0,2.717564783421094,Mojarras(=Silver-biddies) nei
0.019547,1990,6691,-0.9444971584199094,0.6080269166065849,7.439742119052739,Northern quahog(=Hard clam)
1.4249979999999998,1990,0,1.927140795669882,0,2.717564783421094,Northern white shrimp
1.4249979999999998,1990,0,1.9271407956698796,0,2.717564783421094,Palinurid spiny lobsters nei
2.8499959999999995,1990,55,1.9271407956698796,-0.2948717948717949,2.7175647834210936,Penaeus shrimps nei
1.4249979999999998,1990,5,1.9271407956698796,-0.5,2.717564783421093,Queen conch
2.8499959999999995,1990,2.5,1.9271407956698796,-0.16666666666666666,2.7175647834210936,Red drum
0.019547000000000002,1990,1,-0.9444971584199094,0,7.439742119052739,Sand gaper
0.039094,1990,109,-0.9444971584199094,-0.08403361344537816,7.43974211905274,Scallops nei
1.4249979999999998,1990,12,1.9271407956698796,0.2,2.717564783421093,South American rock mussel
1.4249979999999998,1990,1206,1.9271407956698796,0.6037234042553191,2.717564783421093,Southern white shrimp
1.4249979999999998,1990,10,1.9271407956698796,0,2.717564783421093,Stromboid conchs nei
1.4249979999999998,1990,0,1.9271407956698796,0,2.717564783421094,Tilapias nei
8.549987999999999,1990,1253.5,1.9271407956698803,0.676923076923077,2.7175647834210936,Whiteleg shrimp
5.3851749999999905,1991,22400.62150220913,0.8766664238870067,0.45773911926100735,3.6447735813821565,American cupped oyster
0.2120935,1991,0,9.850437407274773,0,7.961631311375172,Atlantic bluefin tuna
0.2120935,1991,0,9.850437407274772,-1,7.961631311375172,Atlantic cod
0.6362804999999998,1991,8785.666666666666,9.850437407274773,0.39787854680456103,7.961631311375167,Atlantic salmon
0.21209349999999993,1991,0,9.850437407274768,0,7.961631311375171,Blue crab
0.4241870000000001,1991,2167,9.850437407274777,-0.1290192926045016,7.961631311375171,Blue mussel
1.7243604999999966,1991,0,0.21007924221647814,0,3.5205004043066004,Blue shrimp
1.7243604999999977,1991,0,0.21007924221648006,0,3.520500404306598,Brine shrimp
0.21209349999999993,1991,473,9.85043740727477,0,7.961631311375171,Butter clam
1.7243604999999977,1991,0,0.21007924221647892,0,3.5205004043065986,Callinectes swimcrabs nei
1.7243604999999977,1991,0,0.21007924221647892,0,3.5205004043066,Caribbean spiny lobster
3.4487209999999915,1991,0,0.21007924221647808,0,3.5205004043066093,"Clams, etc. nei"
3.448720999999995,1991,0,0.21007924221647895,0,3.520500404306603,Cobia
1.7243604999999966,1991,0,0.21007924221647814,0,3.5205004043066004,Common snook
1.7243604999999966,1991,0,0.21007924221647814,0,3.5205004043066004,Cupped oysters nei
,1991,,-1,-1,,Elkhorn sea moss
1.7243604999999977,1991,0,0.21007924221647892,0,3.520500404306599,Florida pompano
1.7243604999999966,1991,40,0.21007924221647814,0,3.5205004043066004,Gracilaria seaweeds
1.7243604999999975,1991,5,0.21007924221647933,0,3.520500404306598,Mangrove cupped oyster
1.7243604999999977,1991,0,0,0,3.5205004043065986,Marine crabs nei
3.448720999999995,1991,0,0.21007924221647895,0,3.5205004043066013,Marine fishes nei
0.42418700000000015,1991,0,9.850437407274775,0,7.961631311375166,Marine molluscs nei
1.7243604999999966,1991,0,0.21007924221647814,0,3.5205004043066004,Mojarras(=Silver-biddies) nei
0.2120935,1991,5713,9.850437407274773,-0.1461664923030937,7.961631311375171,Northern quahog(=Hard clam)
1.7243604999999977,1991,0,0.21007924221647892,0,3.5205004043065986,Northern white shrimp
1.7243604999999966,1991,0,0.21007924221647814,0,3.5205004043066004,Palinurid spiny lobsters nei
3.4487209999999933,1991,25,0.21007924221647814,-0.5454545454545454,3.5205004043066004,Penaeus shrimps nei
1.7243604999999966,1991,2,0.21007924221647814,-0.6,3.5205004043066004,Queen conch
3.4487209999999946,1991,5,0.2100792422164786,1,3.5205004043066004,Red drum
0.21209349999999993,1991,33,9.850437407274768,32,7.961631311375171,Sand gaper
0.42418700000000015,1991,2,9.850437407274777,-0.981651376146789,7.961631311375168,Scallops nei
1.7243604999999966,1991,68,0.21007924221647814,4.666666666666667,3.5205004043066004,South American rock mussel
1.7243604999999966,1991,1374,0.21007924221647814,0.13930348258706468,3.5205004043066004,Southern white shrimp
1.7243604999999966,1991,10,0.21007924221647814,0,3.5205004043066004,Stromboid conchs nei
1.7243604999999966,1991,0,0.21007924221647814,0,3.5205004043066004,Tilapias nei
12.070523499999972,1991,1997.4285714285713,0.4117591159192239,0.5934811100347598,3.520500404306603,Whiteleg shrimp
9.01336749999999,1992,26560.928325969562,0.6737371580310778,0.1857228302058559,4.563406825434375,American cupped oyster
0.2794719999999998,1992,0,0.31768300301517866,0,7.595120001010636,Atlantic bluefin tuna
0.2794719999999998,1992,0,0.31768300301517866,0,7.595120001010636,Atlantic cod
0.8384159999999997,1992,10356,0.3176830030151796,0.1787380961414426,7.595120001010633,Atlantic salmon
0.2794720000000001,1992,0,0.31768300301518054,0,7.595120001010631,Blue crab
0.5589439999999997,1992,2758,0.31768300301517854,0.2727272727272727,7.595120001010633,Blue mussel
2.911298499999998,1992,0,0.6883351828112529,0,4.408536028539616,Blue shrimp
2.9112984999999996,1992,0,0.6883351828112553,0,4.408536028539618,Brine shrimp
0.2794719999999998,1992,0,0.317683003015179,-1,7.595120001010636,Butter clam
2.9112984999999996,1992,0,0.6883351828112533,0,4.408536028539613,Callinectes swimcrabs nei
2.9112985,1992,0,0.6883351828112532,0,4.4085360285396185,Caribbean spiny lobster
5.8225969999999965,1992,0,0.6883351828112554,0,4.408536028539618,"Clams, etc. nei"
5.822596999999998,1992,0,0.6883351828112535,0,4.40853602853962,Cobia
2.911298499999998,1992,0,0.6883351828112529,0,4.408536028539616,Common snook
2.911298499999998,1992,0,0.6883351828112529,0,4.408536028539616,Cupped oysters nei
2.911298499999998,1992,5,0,0,4.408536028539616,Elkhorn sea moss
2.9112985,1992,0,0.6883351828112532,0,4.40853602853962,Florida pompano
2.911298499999998,1992,20,0.6883351828112529,-0.5,4.408536028539616,Gracilaria seaweeds
2.9112984999999987,1992,5,0.6883351828112538,0,4.408536028539616,Mangrove cupped oyster
2.9112984999999996,1992,0,0.6883351828112533,0,4.408536028539613,Marine crabs nei
5.822596999999999,1992,0,0.6883351828112537,0,4.4085360285396185,Marine fishes nei
0.5589439999999994,1992,0,0.3176830030151779,0,7.595120001010637,Marine molluscs nei
2.911298499999998,1992,0,0.6883351828112529,0,4.408536028539616,Mojarras(=Silver-biddies) nei
0.2794719999999998,1992,6371,0.31768300301517866,0.11517591458078068,7.595120001010633,Northern quahog(=Hard clam)
2.9112984999999996,1992,0,0.6883351828112533,0,4.408536028539613,Northern white shrimp
2.911298499999998,1992,0,0.6883351828112529,0,4.408536028539616,Palinurid spiny lobsters nei
5.822596999999996,1992,55,0.6883351828112529,1.2,4.408536028539616,Penaeus shrimps nei
2.911298499999998,1992,2,0.6883351828112529,0,4.408536028539616,Queen conch
5.822596999999998,1992,7.5,0.688335182811253,0.5,4.408536028539618,Red drum
0.2794720000000001,1992,34,0.31768300301518054,0.030303030303030304,7.59512000101063,Sand gaper
0.558944,1992,2,0.31768300301517916,0,7.595120001010636,Scallops nei
,1992,,-1,-1,,South American rock mussel
2.911298499999998,1992,1004,0.6883351828112529,-0.2692867540029112,4.408536028539616,Southern white shrimp
2.911298499999998,1992,5,0.6883351828112529,-0.5,4.408536028539616,Stromboid conchs nei
2.911298499999998,1992,0,0.6883351828112529,0,4.408536028539616,Tilapias nei
20.37908949999998,1992,2982.5714285714284,0.6883351828112533,0.49320554999284794,4.408536028539614,Whiteleg shrimp
8.142855499999994,1993,24302.64613661814,-0.09658010726845383,-0.08502271312344983,3.577586329629691,American cupped oyster
0.078695,1993,0,-0.7184154405450275,0,10.616267865162623,Atlantic bluefin tuna
0.078695,1993,0,-0.7184154405450275,0,10.616267865162623,Atlantic cod
0.2360850000000001,1993,10998.666666666666,-0.7184154405450276,0.0620574224282219,10.616267865162621,Atlantic salmon
0.078695,1993,0,-0.7184154405450278,0,10.616267865162625,Blue crab
0.15739000000000003,1993,2919.5,-0.7184154405450276,0.05855692530819434,10.616267865162625,Blue mussel
2.6880534999999983,1993,0,-0.0766822776846825,0,3.4039412888793086,Blue shrimp
2.6880534999999983,1993,0,-0.07668227768468194,0,3.4039412888793072,Brine shrimp
0.078695,1993,0,-0.7184154405450275,0,10.616267865162623,Butter clam
2.6880534999999988,1993,0,-0.07668227768468278,0,3.403941288879307,Callinectes swimcrabs nei
2.6880534999999983,1993,0,-0.07668227768468307,0,3.4039412888793064,Caribbean spiny lobster
5.376106999999997,1993,0,-0.07668227768468264,0,3.403941288879311,"Clams, etc. nei"
5.376106999999997,1993,0,-0.0766822776846825,0,3.4039412888793072,Cobia
2.6880534999999983,1993,0,-0.0766822776846825,0,3.4039412888793086,Common snook
2.6880534999999983,1993,0,-0.0766822776846825,0,3.4039412888793086,Cupped oysters nei
2.6880534999999983,1993,54,-0.0766822776846825,9.8,3.4039412888793086,Elkhorn sea moss
2.6880534999999983,1993,0,-0.07668227768468307,0,3.4039412888793064,Florida pompano
2.6880534999999983,1993,7,-0.0766822776846825,-0.65,3.4039412888793086,Gracilaria seaweeds
2.6880534999999983,1993,5,-0.07668227768468236,0,3.403941288879307,Mangrove cupped oyster
2.6880534999999988,1993,0,-0.07668227768468278,0,3.403941288879307,Marine crabs nei
5.3761069999999975,1993,0,-0.07668227768468248,0,3.4039412888793086,Marine fishes nei
0.15738999999999997,1993,0,-0.7184154405450275,0,10.616267865162625,Marine molluscs nei
2.6880534999999983,1993,0,-0.0766822776846825,0,3.4039412888793086,Mojarras(=Silver-biddies) nei
0.078695,1993,8856,-0.7184154405450275,0.3900486579814786,10.616267865162625,Northern quahog(=Hard clam)
2.6880534999999988,1993,0,-0.07668227768468278,0,3.403941288879307,Northern white shrimp
2.6880534999999983,1993,0,-0.0766822776846825,0,3.4039412888793086,Palinurid spiny lobsters nei
5.376106999999997,1993,120,-0.0766822776846825,1.1818181818181819,3.4039412888793086,Penaeus shrimps nei
2.6880534999999983,1993,1,-0.0766822776846825,-0.5,3.4039412888793086,Queen conch
5.376106999999997,1993,5,-0.07668227768468279,-0.3333333333333333,3.4039412888793072,Red drum
0.078695,1993,38,-0.7184154405450278,0.11764705882352941,10.616267865162625,Sand gaper
0.15739000000000014,1993,3,-0.7184154405450275,0.5,10.616267865162625,Scallops nei
2.6880534999999983,1993,803,-0.0766822776846825,-0.20019920318725098,3.4039412888793086,Southern white shrimp
2.6880534999999983,1993,5,-0.0766822776846825,0,3.4039412888793086,Stromboid conchs nei
2.6880534999999983,1993,0,-0.0766822776846825,0,3.4039412888793086,Tilapias nei
18.816374499999988,1993,2536.4285714285716,-0.07668227768468239,-0.14958329341890977,3.403941288879311,Whiteleg shrimp
3.738242999999996,1994,19620.035916824196,-0.5409174336938684,-0.19267902735654766,4.265375555871332,American cupped oyster
0.1632465000000001,1994,0,1.0744202300019072,0,8.048467375001449,Atlantic bluefin tuna
0.1632465000000001,1994,0,1.0744202300019072,0,8.048467375001449,Atlantic cod
0.4897394999999999,1994,11919.333333333334,1.0744202300019048,0.08370711601406243,8.04846737500145,Atlantic salmon
0.16324650000000002,1994,0,1.0744202300019063,0,8.048467375001449,Blue crab
0.3264930000000001,1994,3914.5,1.0744202300019063,0.3408117828395273,8.048467375001449,Blue mussel
1.1916654999999985,1994,0,-0.5566808845136456,0,4.116727547261109,Blue shrimp
1.1916655,1994,0,-0.5566808845136445,0,4.116727547261108,Brine shrimp
0.16324650000000002,1994,7,1.0744202300019063,0,8.04846737500145,Butter clam
1.1916655,1994,0,-0.556680884513645,0,4.116727547261106,Callinectes swimcrabs nei
1.1916655,1994,0,-0.556680884513645,0,4.1167275472611085,Caribbean spiny lobster
2.383330999999992,1994,0,-0.5566808845136464,0,4.11672754726111,"Clams, etc. nei"
2.3833309999999983,1994,0,-0.5566808845136452,0,4.116727547261111,Cobia
2.383330999999997,1994,165.5,-0.11336176902729113,0,4.116727547261109,Common snook
1.1916654999999985,1994,0,-0.5566808845136456,0,4.116727547261109,Cupped oysters nei
1.1916654999999985,1994,15,-0.5566808845136456,-0.7222222222222222,4.116727547261109,Elkhorn sea moss
1.1916655,1994,0,-0.556680884513645,0,4.116727547261106,Florida pompano
1.1916654999999985,1994,10,-0.5566808845136456,0.42857142857142855,4.116727547261109,Gracilaria seaweeds
1.1916654999999992,1994,5,-0.5566808845136451,0,4.116727547261111,Mangrove cupped oyster
1.1916655,1994,0,-0.556680884513645,0,4.116727547261106,Marine crabs nei
2.383330999999999,1994,0,-0.5566808845136451,0,4.116727547261106,Marine fishes nei
0.326493,1994,0,1.0744202300019063,0,8.048467375001449,Marine molluscs nei
1.1916654999999985,1994,4,-0.5566808845136456,0,4.116727547261109,Mojarras(=Silver-biddies) nei
0.1632465000000001,1994,7944,1.0744202300019072,-0.10298102981029811,8.04846737500145,Northern quahog(=Hard clam)
1.1916655,1994,0,-0.556680884513645,0,4.116727547261106,Northern white shrimp
1.1916654999999985,1994,0,-0.5566808845136456,0,4.116727547261109,Palinurid spiny lobsters nei
2.383330999999997,1994,48.5,-0.5566808845136456,-0.5958333333333333,4.116727547261109,Penaeus shrimps nei
1.1916654999999985,1994,1,-0.5566808845136456,0,4.116727547261109,Queen conch
2.3833309999999983,1994,6,-0.5566808845136453,0.2,4.1167275472611085,Red drum
0.16324650000000002,1994,32,1.0744202300019063,-0.15789473684210525,8.04846737500145,Sand gaper
0.32649299999999976,1994,18,1.0744202300019028,5,8.048467375001449,Scallops nei
1.1916654999999985,1994,1136,-0.5566808845136456,0.41469489414694893,4.116727547261109,Southern white shrimp
1.1916654999999985,1994,5,-0.5566808845136456,0,4.116727547261109,Stromboid conchs nei
1.1916654999999985,1994,1,-0.5566808845136456,0,4.116727547261109,Tilapias nei
